cod_mun;nome_mun;uf_mun
6813;Paraibuna;SP
6815;Paraíso;SP
6817;Paranapanema;SP
6819;Paranapuã;SP
6821;Parapuã;SP
6823;Pardinho;SP
6825;Pariquera-Açu;SP
6827;Patrocínio Paulista;SP
6829;Paulicéia;SP
6831;Paulínia;SP
6833;Paulo de Faria;SP
6835;Pederneiras;SP
6837;Pedra Bela;SP
6839;Pedranópolis;SP
6841;Pedregulho;SP
6843;Pedreira;SP
6845;Pedro de Toledo;SP
6847;Penápolis;SP
6849;Pereira Barreto;SP
6851;Pereiras;SP
6853;Peruíbe;SP
6855;Piacatu;SP
6857;Piedade;SP
6859;Pilar do Sul;SP
6861;Pindamonhangaba;SP
6863;Pindorama;SP
6865;Espírito Santo do Pinhal;SP
6867;Pinhalzinho;SP
6869;Piquerobi;SP
6871;Piquete;SP
6873;Piracaia;SP
6875;Piracicaba;SP
6877;Piraju;SP
6879;Pirajuí;SP
6881;Pirangi;SP
6883;Pirapora do Bom Jesus;SP
6885;Pirapozinho;SP
6887;Pirassununga;SP
6889;Piratininga;SP
6891;Pitangueiras;SP
6893;Planalto;SP
6895;Platina;SP
6897;Poá;SP
6899;Poloni;SP
6901;Pompéia;SP
6903;Pongaí;SP
6905;Pontal;SP
6907;Pontes Gestal;SP
6909;Populina;SP
6911;Porangaba;SP
6913;Porto Feliz;SP
6915;Porto Ferreira;SP
6917;Potirendaba;SP
6919;Pradópolis;SP
6921;Praia Grande;SP
6923;Presidente Alves;SP
6925;Presidente Bernardes;SP
6927;Presidente Epitácio;SP
6929;Presidente Prudente;SP
6931;Presidente Venceslau;SP
6933;Promissão;SP
6935;Quatá;SP
6937;Queiroz;SP
6939;Queluz;SP
6941;Quintana;SP
6943;Rafard;SP
6945;Rancharia;SP
6947;Redenção da Serra;SP
6949;Regente Feijó;SP
6951;Reginópolis;SP
6953;Registro;SP
6955;Restinga;SP
6957;Ribeira;SP
6959;Ribeirão Bonito;SP
6961;Ribeirão Branco;SP
6963;Ribeirão Corrente;SP
6965;Ribeirão do Sul;SP
6967;Ribeirão Pires;SP
6969;Ribeirão Preto;SP
6971;Riversul;SP
6973;Rifaina;SP
6975;Rincão;SP
6977;Rinópolis;SP
6979;Rio Claro;SP
6981;Rio das Pedras;SP
6983;Rio Grande da Serra;SP
6985;Riolândia;SP
6987;Roseira;SP
6989;Rubiácea;SP
6991;Rubinéia;SP
6993;Sabino;SP
6995;Sagres;SP
6997;Sales;SP
6999;Sales Oliveira;SP
7000;Nova Ubiratã;MT
7001;Salesópolis;SP
7003;Salmourão;SP
7005;Salto;SP
7007;Salto de Pirapora;SP
7009;Salto Grande;SP
7011;Sandovalina;SP
7013;Santa Adélia;SP
7015;Santa Albertina;SP
7017;Santa Bárbara D'Oeste;SP
7019;Águas de Santa Bárbara;SP
7021;Santa Branca;SP
7023;Santa Clara D'Oeste;SP
7025;Santa Cruz da Conceição;SP
7027;Santa Cruz das Palmeiras;SP
7029;Santa Cruz do Rio Pardo;SP
7031;Santa Ernestina;SP
7033;Santa Fé do Sul;SP
7035;Santa Gertrudes;SP
7037;Santa Isabel;SP
7039;Santa Lúcia;SP
7041;Santa Maria da Serra;SP
7043;Santa Mercedes;SP
7045;Santana da Ponte Pensa;SP
7047;Santana de Parnaíba;SP
7049;Santa Rita D'Oeste;SP
7051;Santa Rita do Passa Quatro;SP
7053;Santa Rosa de Viterbo;SP
7055;Santo Anastácio;SP
7057;Santo André;SP
7059;Santo Antônio da Alegria;SP
7061;Santo Antônio de Posse;SP
7063;Santo Antônio do Jardim;SP
7065;Santo Antônio do Pinhal;SP
7067;Santo Expedito;SP
7069;Santópolis do Aguapeí;SP
7071;Santos;SP
7073;São Bento do Sapucaí;SP
7075;São Bernardo do Campo;SP
7077;São Caetano do Sul;SP
7079;São Carlos;SP
7081;São Francisco;SP
7083;São João da Boa Vista;SP
7085;São João das Duas Pontes;SP
7087;São João do Pau d'Alho;SP
7089;São Joaquim da Barra;SP
7091;São José da Bela Vista;SP
7093;São José do Barreiro;SP
7095;São José do Rio Pardo;SP
7097;São José do Rio Preto;SP
7099;São José dos Campos;SP
7101;São Luiz do Paraitinga;SP
7103;São Manuel;SP
7105;São Miguel Arcanjo;SP
7107;São Paulo;SP
7109;São Pedro;SP
7111;São Pedro do Turvo;SP
7113;São Roque;SP
7115;São Sebastião;SP
7117;São Sebastião da Grama;SP
7119;São Simão;SP
7121;São Vicente;SP
7123;Sarapuí;SP
7125;Sarutaiá;SP
7127;Sebastianópolis do Sul;SP
7129;Serra Azul;SP
7131;Serrana;SP
7133;Serra Negra;SP
7135;Sertãozinho;SP
7137;Sete Barras;SP
7139;Severínia;SP
7141;Silveiras;SP
7143;Socorro;SP
7145;Sorocaba;SP
7147;Sud Mennucci;SP
7149;Sumaré;SP
7151;Suzano;SP
7153;Tabapuã;SP
7155;Tabatinga;SP
7157;Taboão da Serra;SP
7159;Taciba;SP
7161;Taguaí;SP
7163;Taiaçu;SP
7165;Taiúva;SP
7167;Tambaú;SP
7169;Tanabi;SP
7171;Tapiraí;SP
7173;Tapiratiba;SP
7175;Taquaritinga;SP
7177;Taquarituba;SP
7179;Tarabai;SP
7181;Tatuí;SP
7183;Taubaté;SP
7185;Tejupá;SP
7187;Teodoro Sampaio;SP
7189;Terra Roxa;SP
7191;Tietê;SP
7193;Timburi;SP
7195;Torrinha;SP
7197;Tremembé;SP
7199;Três Fronteiras;SP
7201;Tupã;SP
7203;Tupi Paulista;SP
7205;Turiúba;SP
7207;Turmalina;SP
7209;Ubatuba;SP
7211;Ubirajara;SP
7213;Uchoa;SP
7215;União Paulista;SP
7217;Urânia;SP
7219;Uru;SP
7221;Urupês;SP
7223;Valentim Gentil;SP
7225;Valinhos;SP
7227;Valparaíso;SP
7231;Vargem Grande do Sul;SP
7233;Várzea Paulista;SP
7235;Vera Cruz;SP
7237;Vinhedo;SP
7239;Viradouro;SP
7241;Vista Alegre do Alto;SP
7243;Votorantim;SP
7245;Votuporanga;SP
7247;Borebi;SP
7249;Dirce Reis;SP
7251;Embaúba;SP
7253;Espírito Santo do Turvo;SP
7255;Euclides da Cunha Paulista;SP
7257;Guatapará;SP
7259;Iaras;SP
7263;Motuca;SP
7265;Rosana;SP
7267;Tarumã;SP
7273;Vargem Grande Paulista;SP
7293;São Vendelino;RS
7295;Imigrante;RS
7297;Imbé;RS
7299;Ibirapuitã;RS
7301;Estação;RS
7303;Vista Gaúcha;RS
7305;Vista Alegre do Prata;RS
7307;Vista Alegre;RS
7309;Vila Maria;RS
7311;Vila Flores;RS
7313;Taquaruçu do Sul;RS
7315;Silveira Martins;RS
7317;Segredo;RS
7319;Vanini;RS
7321;Tupandi;RS
7323;Tunas;RS
7325;Trindade do Sul;RS
7327;Três Palmeiras;RS
7329;Três Cachoeiras;RS
7331;Três Arroios;RS
7332;Santo Antônio do Sudoeste;PR
7333;Terra de Areia;RS
7335;Sede Nova;RS
7337;Santa Maria do Herval;RS
7339;Saldanha Marinho;RS
7341;São Miguel das Missões;RS
7343;São José do Hortêncio;RS
7345;São José do Herval;RS
7347;São Jorge;RS
7349;São João da Urtiga;RS
7351;São Domingos do Sul;RS
7353;Riozinho;RS
7355;Relvado;RS
7357;Quinze de Novembro;RS
7359;Protásio Alves;RS
7361;Progresso;RS
7363;Pouso Novo;RS
7365;Poço das Antas;RS
7367;Pirapó;RS
7369;Pinhal;RS
7371;Paverama;RS
7373;Paraíso do Sul;RS
7375;Pântano Grande;RS
7377;Nova Roma do Sul;RS
7379;Nova Hartz;RS
7381;Nova Esperança do Sul;RS
7383;Nova Alvorada;RS
7385;Morro Redondo;RS
7387;Montauri;RS
7389;Lagoão;RS
7391;Jaquirana;RS
7393;Jaboticaba;RS
7395;Ivorá;RS
7397;Itacurubi;RS
7399;Ipiranga do Sul;RS
7401;Abatiá;PR
7403;Adrianópolis;PR
7405;Agudos do Sul;PR
7407;Almirante Tamandaré;PR
7409;Alto Paraná;PR
7411;Alto Piquiri;PR
7413;Alvorada do Sul;PR
7415;Amaporã;PR
7417;Ampére;PR
7419;Andirá;PR
7421;Antonina;PR
7423;Antônio Olinto;PR
7425;Apucarana;PR
7427;Arapongas;PR
7429;Arapoti;PR
7431;Araruna;PR
7433;Marilândia do Sul;PR
7435;Araucária;PR
7437;Assaí;PR
7439;Astorga;PR
7441;Atalaia;PR
7443;Balsa Nova;PR
7445;Bandeirantes;PR
7447;Barbosa Ferraz;PR
7449;Barracão;PR
7451;Barra do Jacaré;PR
7453;Bela Vista do Paraíso;PR
7455;Bituruna;PR
7457;Boa Esperança;PR
7459;Bocaiúva do Sul;PR
7461;Bom Sucesso;PR
7463;Borrazópolis;PR
7465;Cafeara;PR
7467;Califórnia;PR
7469;Cambará;PR
7471;Cambé;PR
7473;Cambira;PR
7475;Campina da Lagoa;PR
7477;Campina Grande do Sul;PR
7479;Campo do Tenente;PR
7481;Campo Largo;PR
7483;Campo Mourão;PR
7485;Cândido de Abreu;PR
7487;Capanema;PR
7489;Capitão Leônidas Marques;PR
7491;Carlópolis;PR
7493;Cascavel;PR
7495;Castro;PR
7497;Catanduvas;PR
7499;Centenário do Sul;PR
7501;Cerro Azul;PR
7503;Chopinzinho;PR
7505;Cianorte;PR
7507;Cidade Gaúcha;PR
7509;Clevelândia;PR
7511;Mangueirinha;PR
7513;Colombo;PR
7515;Colorado;PR
7517;Congonhinhas;PR
7519;Conselheiro Mairinck;PR
7521;Contenda;PR
7523;Corbélia;PR
7525;Cornélio Procópio;PR
7527;Coronel Vivida;PR
7529;Cruzeiro do Oeste;PR
7531;Cruzeiro do Sul;PR
7533;Cruz Machado;PR
7535;Curitiba;PR
7537;Curiúva;PR
7539;Diamante do Norte;PR
7541;Dois Vizinhos;PR
7543;Doutor Camargo;PR
7545;Enéas Marques;PR
7547;Engenheiro Beltrão;PR
7549;Faxinal;PR
7551;Fênix;PR
7553;Floraí;PR
7555;Floresta;PR
7557;Florestópolis;PR
7559;Flórida;PR
7561;Formosa do Oeste;PR
7563;Foz do Iguaçu;PR
7565;Francisco Beltrão;PR
7567;General Carneiro;PR
7569;Goioerê;PR
7571;Guaíra;PR
7573;Guairaçá;PR
7575;Guapirama;PR
7577;Guaporema;PR
7579;Guaraci;PR
7581;Guaraniaçu;PR
7583;Guarapuava;PR
7585;Guaraqueçaba;PR
7587;Guaratuba;PR
7589;Ibaiti;PR
7591;Ibiporã;PR
7593;Icaraíma;PR
7595;Iguaraçu;PR
7597;Imbituva;PR
7599;Inácio Martins;PR
7601;Inajá;PR
7603;Ipiranga;PR
7605;Iporã;PR
7607;Irati;PR
7609;Iretama;PR
7611;Itaguajé;PR
7613;Itambaracá;PR
7615;Itambé;PR
7617;Itapejara d'Oeste;PR
7619;Itaúna do Sul;PR
7621;Ivaí;PR
7623;Ivaiporã;PR
7625;Ivatuba;PR
7627;Jaboti;PR
7629;Jacarezinho;PR
7631;Jaguapitã;PR
7633;Jaguariaíva;PR
7635;Jandaia do Sul;PR
7637;Janiópolis;PR
7639;Japira;PR
7641;Japurá;PR
7643;Jardim Alegre;PR
7645;Jardim Olinda;PR
7647;Jataizinho;PR
7649;Joaquim Távora;PR
7651;Jundiaí do Sul;PR
7653;Jussara;PR
7655;Kaloré;PR
7657;Lapa;PR
7659;Laranjeiras do Sul;PR
7661;Leópolis;PR
7663;Loanda;PR
7665;Lobato;PR
7667;Londrina;PR
7669;Lupionópolis;PR
7671;Mallet;PR
7673;Mamborê;PR
7675;Mandaguaçu;PR
7677;Mandaguari;PR
7679;Mandirituba;PR
7681;Manoel Ribas;PR
7683;Marechal Cândido Rondon;PR
7685;Maria Helena;PR
7687;Marialva;PR
7689;Mariluz;PR
7691;Maringá;PR
7693;Mariópolis;PR
7695;Marmeleiro;PR
7697;Marumbi;PR
7699;Matelândia;PR
7701;Medianeira;PR
7703;Mirador;PR
7705;Miraselva;PR
7707;Moreira Sales;PR
7709;Morretes;PR
7711;Munhoz de Melo;PR
7713;Nossa Senhora das Graças;PR
7715;Nova Aliança do Ivaí;PR
7717;Nova América da Colina;PR
7719;Nova Cantu;PR
7721;Nova Esperança;PR
7723;Nova Fátima;PR
7725;Nova Londrina;PR
7727;Ortigueira;PR
7729;Ourizona;PR
7731;Paiçandu;PR
7733;Palmas;PR
7735;Palmeira;PR
7737;Palmital;PR
7739;Palotina;PR
7741;Paraíso do Norte;PR
7743;Paranacity;PR
7745;Paranaguá;PR
7747;Paranapoema;PR
7749;Paranavaí;PR
7751;Pato Branco;PR
7753;Paula Freitas;PR
7755;Paulo Frontin;PR
7757;Peabiru;PR
7759;Pérola d'Oeste;PR
7761;Piên;PR
7762;Pinhais;PR
7763;Pinhalão;PR
7765;Pinhão;PR
7767;Piraí do Sul;PR
7769;Piraquara;PR
7771;Pitanga;PR
7773;Planaltina do Paraná;PR
7775;Planalto;PR
7777;Ponta Grossa;PR
7779;Porecatu;PR
7781;Porto Amazonas;PR
7783;Porto Rico;PR
7785;Porto Vitória;PR
7787;Presidente Castelo Branco;PR
7789;Primeiro de Maio;PR
7791;Prudentópolis;PR
7793;Quatiguá;PR
7795;Quatro Barras;PR
7797;Querência do Norte;PR
7799;Quinta do Sol;PR
7801;Quitandinha;PR
7803;Rancho Alegre;PR
7805;Realeza;PR
7807;Rebouças;PR
7809;Renascença;PR
7811;Reserva;PR
7813;Ribeirão Claro;PR
7815;Ribeirão do Pinhal;PR
7817;Rio Azul;PR
7819;Rio Bom;PR
7821;Rio Branco do Sul;PR
7823;Rio Negro;PR
7825;Rolândia;PR
7827;Roncador;PR
7829;Rondon;PR
7831;Sabáudia;PR
7833;Salgado Filho;PR
7835;Salto do Itararé;PR
7837;Salto do Lontra;PR
7839;Santa Amélia;PR
7841;Santa Cecília do Pavão;PR
7843;Santa Cruz de Monte Castelo;PR
7845;Santa Fé;PR
7847;Santa Inês;PR
7849;Santa Isabel do Ivaí;PR
7851;Santa Izabel do Oeste;PR
7853;Santa Mariana;PR
7855;Santana do Itararé;PR
7857;Santo Antônio do Sudoeste;PR
7859;Santo Antônio da Platina;PR
7861;Santo Antônio do Caiuá;PR
7863;Santo Antônio do Paraíso;PR
7865;Santo Inácio;PR
7867;São Carlos do Ivaí;PR
7869;São Jerônimo da Serra;PR
7871;São João;PR
7873;São João do Caiuá;PR
7875;São João do Ivaí;PR
7877;São João do Triunfo;PR
7879;São Jorge do Ivaí;PR
7881;São Jorge D'Oeste;PR
7883;São José da Boa Vista;PR
7885;São José dos Pinhais;PR
7887;São Mateus do Sul;PR
7889;São Miguel do Iguaçu;PR
7891;São Pedro do Ivaí;PR
7893;São Pedro do Paraná;PR
7895;São Sebastião da Amoreira;PR
7897;São Tomé;PR
7899;Sapopema;PR
7901;Sengés;PR
7903;Sertaneja;PR
7905;Sertanópolis;PR
7907;Siqueira Campos;PR
7909;Tamboara;PR
7911;Tapejara;PR
7913;Teixeira Soares;PR
7915;Telêmaco Borba;PR
7917;Terra Boa;PR
7919;Terra Rica;PR
7921;Terra Roxa;PR
7923;Tibagi;PR
7925;Tijucas do Sul;PR
7927;Toledo;PR
7929;Tomazina;PR
7931;Tuneiras do Oeste;PR
7933;Ubiratã;PR
7935;Umuarama;PR
7937;União da Vitória;PR
7939;Uniflor;PR
7941;Uraí;PR
7943;Wenceslau Braz;PR
7945;Verê;PR
7947;Vitorino;PR
7949;Xambrê;PR
7951;Altônia;PR
7953;Assis Chateaubriand;PR
7955;Quedas do Iguaçu;PR
7957;Céu Azul;PR
7959;Grandes Rios;PR
7961;Indianópolis;PR
7963;Matinhos;PR
7965;Nova Aurora;PR
7967;Nova Olímpia;PR
7969;Pérola;PR
7971;Santa Helena;PR
7973;Tapira;PR
7975;Marilena;PR
7977;Francisco Alves;PR
7979;Nova Santa Rosa;PR
7981;Boa Vista da Aparecida;PR
7983;Braganey;PR
7985;Cafelândia;PR
7987;Três Barras do Paraná;PR
7989;Vera Cruz do Oeste;PR
7991;Pranchita;PR
7993;Tupãssi;PR
7995;Nova Prata do Iguaçu;PR
7997;Jesuítas;PR
7999;São Jorge do Patrocínio;PR
8001;Abelardo Luz;SC
8003;Agrolândia;SC
8005;Agronômica;SC
8007;Água Doce;SC
8009;Águas de Chapecó;SC
8011;Águas Mornas;SC
8013;Alfredo Wagner;SC
8015;Anchieta;SC
8017;Angelina;SC
8019;Anita Garibaldi;SC
8021;Anitápolis;SC
8023;Antônio Carlos;SC
8025;Araquari;SC
8027;Araranguá;SC
8029;Armazém;SC
8031;Arroio Trinta;SC
8033;Ascurra;SC
8035;Atalanta;SC
8037;Aurora;SC
8039;Balneário Camboriú;SC
8041;Barra Velha;SC
8043;Benedito Novo;SC
8045;Biguaçu;SC
8047;Blumenau;SC
8049;Bom Retiro;SC
8051;Botuverá;SC
8053;Braço do Norte;SC
8055;Brusque;SC
8057;Caçador;SC
8059;Caibi;SC
8061;Camboriú;SC
8063;Campo Alegre;SC
8065;Campo Belo do Sul;SC
8067;Campo Erê;SC
8069;Campos Novos;SC
8071;Canelinha;SC
8073;Canoinhas;SC
8075;Capinzal;SC
8077;Catanduvas;SC
8079;Caxambu do Sul;SC
8081;Chapecó;SC
8083;Concórdia;SC
8085;Coronel Freitas;SC
8087;Corupá;SC
8089;Criciúma;SC
8091;Cunha Porã;SC
8093;Curitibanos;SC
8095;Descanso;SC
8096;Santa Vitória do Palmar;RS
8097;Dionísio Cerqueira;SC
8099;Dona Emma;SC
8101;Erval Velho;SC
8103;Faxinal dos Guedes;SC
8105;Florianópolis;SC
8107;Fraiburgo;SC
8108;Santo Antônio da Patrulha;RS
8109;Galvão;SC
8111;Governador Celso Ramos;SC
8113;Garopaba;SC
8115;Garuva;SC
8117;Gaspar;SC
8119;Grão Pará;SC
8121;Gravatal;SC
8123;Guabiruba;SC
8125;Guaraciaba;SC
8127;Guaramirim;SC
8129;Guarujá do Sul;SC
8131;Herval D'Oeste;SC
8133;Ibicaré;SC
8135;Ibirama;SC
8137;Içara;SC
8139;Ilhota;SC
8141;Imaruí;SC
8143;Imbituba;SC
8145;Imbuia;SC
8147;Indaial;SC
8149;Ipira;SC
8151;Ipumirim;SC
8153;Irani;SC
8155;Irineópolis;SC
8157;Itá;SC
8159;Itaiópolis;SC
8161;Itajaí;SC
8163;Itapema;SC
8165;Itapiranga;SC
8167;Ituporanga;SC
8169;Jaborá;SC
8171;Jacinto Machado;SC
8173;Jaguaruna;SC
8175;Jaraguá do Sul;SC
8177;Joaçaba;SC
8179;Joinville;SC
8181;Lacerdópolis;SC
8183;Lages;SC
8185;Laguna;SC
8187;Laurentino;SC
8189;Lauro Müller;SC
8191;Lebon Régis;SC
8193;Leoberto Leal;SC
8195;Lontras;SC
8197;Luiz Alves;SC
8199;Mafra;SC
8201;Major Gercino;SC
8203;Major Vieira;SC
8205;Maravilha;SC
8207;Massaranduba;SC
8209;Matos Costa;SC
8211;Meleiro;SC
8213;Modelo;SC
8215;Mondaí;SC
8217;Monte Castelo;SC
8219;Morro da Fumaça;SC
8221;Navegantes;SC
8223;Nova Erechim;SC
8225;Nova Trento;SC
8227;Nova Veneza;SC
8229;Orleans;SC
8231;Ouro;SC
8233;Palhoça;SC
8235;Palma Sola;SC
8237;Palmitos;SC
8239;Papanduva;SC
8240;Passos Maia;SC
8241;Paulo Lopes;SC
8243;Pedras Grandes;SC
8245;Penha;SC
8247;Peritiba;SC
8248;Pescaria Brava;SC
8249;Petrolândia;SC
8251;Balneário Piçarras;SC
8252;Balneário Rincão;SC
8253;Pinhalzinho;SC
8255;Pinheiro Preto;SC
8257;Piratuba;SC
8259;Pomerode;SC
8261;Ponte Alta;SC
8263;Ponte Serrada;SC
8265;Porto Belo;SC
8267;Porto União;SC
8269;Pouso Redondo;SC
8271;Praia Grande;SC
8273;Presidente Castelo Branco;SC
8275;Presidente Getúlio;SC
8277;Presidente Nereu;SC
8279;Quilombo;SC
8281;Rancho Queimado;SC
8283;Rio das Antas;SC
8285;Rio do Campo;SC
8287;Rio do Oeste;SC
8289;Rio dos Cedros;SC
8291;Rio do Sul;SC
8293;Rio Fortuna;SC
8295;Rio Negrinho;SC
8297;Rodeio;SC
8299;Romelândia;SC
8301;Salete;SC
8303;Salto Veloso;SC
8305;Santa Cecília;SC
8307;Santa Rosa de Lima;SC
8309;Santo Amaro da Imperatriz;SC
8311;São Bento do Sul;SC
8313;São Bonifácio;SC
8315;São Carlos;SC
8317;São Domingos;SC
8319;São Francisco do Sul;SC
8321;São João Batista;SC
8323;São João do Sul;SC
8325;São Joaquim;SC
8327;São José;SC
8329;São José do Cedro;SC
8331;São José do Cerrito;SC
8333;São Lourenço do Oeste;SC
8334;Alto Bela Vista;SC
8335;São Ludgero;SC
8337;São Martinho;SC
8339;São Miguel do Oeste;SC
8341;Saudades;SC
8343;Schroeder;SC
8345;Seara;SC
8347;Siderópolis;SC
8349;Sombrio;SC
8351;Taió;SC
8353;Tangará;SC
8355;Tijucas;SC
8357;Timbó;SC
8358;Balneário Gaivota;SC
8359;Três Barras;SC
8360;Bandeirante;SC
8361;Treze de Maio;SC
8362;Barra Bonita;SC
8363;Treze Tílias;SC
8365;Trombudo Central;SC
8367;Tubarão;SC
8369;Turvo;SC
8371;Urubici;SC
8373;Urussanga;SC
8374;Bela Vista do Toldo;SC
8375;Vargeão;SC
8377;Vidal Ramos;SC
8378;Bocaína do Sul;SC
8379;Videira;SC
8381;Witmarsum;SC
8382;Bom Jesus do Oeste;SC
8383;Xanxerê;SC
8384;Bom Jesus;SC
8385;Xavantina;SC
8387;Xaxim;SC
8389;Bom Jardim da Serra;SC
8390;Brunópolis;SC
8391;Maracajá;SC
8393;Timbé do Sul;SC
8395;Correia Pinto;SC
8397;Otacílio Costa;SC
8399;São Pedro de Alcântara;SC
8400;Tunápolis;SC
8401;Ibarama;RS
8403;Harmonia;RS
8405;Guabiju;RS
8407;Glorinha;RS
8408;Capão Alto;SC
8409;Faxinalzinho;RS
8411;Fagundes Varela;RS
8413;Eugênio de Castro;RS
8415;Ernestina;RS
8417;Erebango;RS
8418;Chapadão do Lageado;SC
8419;Entre-Ijuís;RS
8421;Entre Rios do Sul;RS
8423;Eldorado do Sul;RS
8425;Doutor Maurício Cardoso;RS
8427;Dois Lajeados;RS
8429;Dezesseis de Novembro;RS
8431;Cristal;RS
8432;Cunhataí;SC
8433;Cidreira;RS
8435;Cerro Grande do Sul;RS
8437;Cerro Grande;RS
8439;Cerro Branco;RS
8441;Caseiros;RS
8442;Entre Rios;SC
8443;Capela de Santana;RS
8444;Ermo;SC
8445;Campos Borges;RS
8447;Camargo;RS
8449;Brochier;RS
8451;Cantagalo;PR
8452;Flor do Sertão;SC
8453;Turvo;PR
8455;Altamira do Paraná;PR
8457;Figueira;PR
8458;Frei Rogério;SC
8459;Lunardelli;PR
8461;Sarandi;PR
8463;Juranda;PR
8465;Douradina;PR
8467;Santa Terezinha de Itaipu;PR
8469;Missal;PR
8471;São José das Palmeiras;PR
8473;Rosário do Ivaí;PR
8475;Campo Bonito;PR
8477;Sulina;PR
8479;Corumbataí do Sul;PR
8480;Ibiam;SC
8481;Luiziana;PR
8483;Boqueirão do Leão;RS
8485;Barão;RS
8487;Áurea;RS
8489;Arroio do Sal;RS
8491;André da Rocha;RS
8492;Iomerê;SC
8493;Amaral Ferrador;RS
8495;Alto Alegre;RS
8497;Alegria;RS
8499;Água Santa;RS
8501;Agudo;RS
8502;Caseiros;RS
8503;Ajuricaba;RS
8505;Alecrim;RS
8507;Alegrete;RS
8509;Alpestre;RS
8511;Alvorada;RS
8513;Anta Gorda;RS
8515;Antônio Prado;RS
8517;Aratiba;RS
8519;Arroio do Meio;RS
8521;Arroio dos Ratos;RS
8523;Arroio do Tigre;RS
8524;Jupiá;SC
8525;Arroio Grande;RS
8527;Arvorezinha;RS
8529;Augusto Pestana;RS
8531;Bagé;RS
8533;Barão de Cotegipe;RS
8535;Barracão;RS
8537;Barra do Ribeiro;RS
8539;Barros Cassal;RS
8540;Luzerna;SC
8541;Bento Gonçalves;RS
8543;Boa Vista do Buricá;RS
8545;Bom Jesus;RS
8547;Bom Retiro do Sul;RS
8549;Bossoroca;RS
8551;Braga;RS
8553;Butiá;RS
8555;Caçapava do Sul;RS
8557;Cacequi;RS
8559;Cachoeira do Sul;RS
8561;Cachoeirinha;RS
8563;Cacique Doble;RS
8565;Caibaté;RS
8567;Caiçara;RS
8569;Camaquã;RS
8571;Cambará do Sul;RS
8573;Campina das Missões;RS
8575;Campinas do Sul;RS
8577;Campo Bom;RS
8579;Campo Novo;RS
8581;Candelária;RS
8583;Cândido Godói;RS
8585;Canela;RS
8587;Canguçu;RS
8588;Painel;SC
8589;Canoas;RS
8590;Paial;SC
8591;Carazinho;RS
8592;Palmeira;SC
8593;Carlos Barbosa;RS
8595;Casca;RS
8597;Catuípe;RS
8599;Caxias do Sul;RS
8601;Cerro Largo;RS
8603;Chapada;RS
8605;Chiapetta;RS
8607;Ciríaco;RS
8609;Colorado;RS
8611;Condor;RS
8613;Constantina;RS
8615;Coronel Bicaco;RS
8617;Crissiumal;RS
8619;Cruz Alta;RS
8621;Cruzeiro do Sul;RS
8623;David Canabarro;RS
8625;Dois Irmãos;RS
8627;Dom Feliciano;RS
8629;Dom Pedrito;RS
8631;Dona Francisca;RS
8632;Princesa;SC
8633;Encantado;RS
8635;Encruzilhada do Sul;RS
8637;Erechim;RS
8639;Herval;RS
8641;Erval Grande;RS
8643;Erval Seco;RS
8645;Esmeralda;RS
8647;Espumoso;RS
8649;Estância Velha;RS
8651;Esteio;RS
8653;Estrela;RS
8655;Farroupilha;RS
8657;Faxinal do Soturno;RS
8659;Feliz;RS
8661;Flores da Cunha;RS
8663;Fontoura Xavier;RS
8664;Saltinho;SC
8665;Formigueiro;RS
8667;Frederico Westphalen;RS
8669;Garibaldi;RS
8671;Gaurama;RS
8673;General Câmara;RS
8675;São Vicente do Sul;RS
8677;Getúlio Vargas;RS
8678;Santa Terezinha do Progresso;SC
8679;Giruá;RS
8680;Santiago do Sul;SC
8681;Gramado;RS
8683;Gravataí;RS
8685;Guaíba;RS
8686;São Bernardino;SC
8687;Guaporé;RS
8689;Guarani das Missões;RS
8691;Horizontina;RS
8693;Charqueadas;RS
8695;Humaitá;RS
8697;Ibiaçá;RS
8699;Ibiraiaras;RS
8701;Ibirubá;RS
8703;Igrejinha;RS
8705;Ijuí;RS
8706;São Lourenço do Oeste;SC
8707;Ilópolis;RS
8709;Independência;RS
8711;Iraí;RS
8713;Itaqui;RS
8715;Itatiba do Sul;RS
8717;Ivoti;RS
8719;Jacutinga;RS
8721;Jaguarão;RS
8723;Jaguari;RS
8725;Júlio de Castilhos;RS
8727;Lagoa Vermelha;RS
8729;Lajeado;RS
8731;Lavras do Sul;RS
8732;Tigrinhos;SC
8733;Liberato Salzano;RS
8735;Machadinho;RS
8737;Marau;RS
8738;Treviso;SC
8739;Marcelino Ramos;RS
8741;Mariano Moro;RS
8743;Mata;RS
8745;Maximiliano de Almeida;RS
8747;Miraguaí;RS
8749;Montenegro;RS
8751;Mostardas;RS
8753;Muçum;RS
8755;Não-Me-Toque;RS
8757;Nonoai;RS
8759;Nova Araçá;RS
8761;Nova Bassano;RS
8763;Nova Bréscia;RS
8765;Nova Palma;RS
8766;Zortéa;SC
8767;Nova Petrópolis;RS
8769;Nova Prata;RS
8771;Novo Hamburgo;RS
8773;Osório;RS
8775;Paim Filho;RS
8777;Palmeira das Missões;RS
8779;Palmitinho;RS
8781;Panambi;RS
8783;Paraí;RS
8785;Passo Fundo;RS
8787;Pedro Osório;RS
8789;Pejuçara;RS
8791;Pelotas;RS
8793;Pinheiro Machado;RS
8794;Pinto Bandeira;RS
8795;Piratini;RS
8797;Planalto;RS
8799;Portão;RS
